# STEP   STRAN(1)    STRAN(2)    STRAN(3)   STRESS(1)   STRESS(2)   STRESS(1)    OMEGA(1)    OMEGA(2)    OMEGA(3)   fd0
    1  0.0000E+00  0.0000E+00  0.2000E-04  0.4068E+06  0.4068E+06  0.1530E+07  0.0000E+00  0.0000E+00  0.3429E-04  0.1546E-04
    2  0.0000E+00  0.0000E+00  0.4000E-04  0.8126E+06  0.8126E+06  0.3057E+07  0.0000E+00  0.0000E+00  0.1368E-03  -.5684E-13
    3  0.0000E+00  0.0000E+00  0.6000E-04  0.1216E+07  0.1216E+07  0.4576E+07  0.0000E+00  0.0000E+00  0.3066E-03  0.3411E-12
    4  0.0000E+00  0.0000E+00  0.8000E-04  0.1618E+07  0.1618E+07  0.6085E+07  0.0000E+00  0.0000E+00  0.5422E-03  0.5457E-11
    5  0.0000E+00  0.0000E+00  0.1000E-03  0.2015E+07  0.2015E+07  0.7581E+07  0.0000E+00  0.0000E+00  0.8416E-03  0.5298E-10
    6  0.0000E+00  0.0000E+00  0.1200E-03  0.2409E+07  0.2409E+07  0.9061E+07  0.0000E+00  0.0000E+00  0.1202E-02  0.3170E-09
    7  0.0000E+00  0.0000E+00  0.1400E-03  0.2798E+07  0.2798E+07  0.1052E+08  0.0000E+00  0.0000E+00  0.1621E-02  0.1374E-08
    8  0.0000E+00  0.0000E+00  0.1600E-03  0.3181E+07  0.3181E+07  0.1196E+08  0.0000E+00  0.0000E+00  0.2096E-02  0.4703E-08
    9  0.0000E+00  0.0000E+00  0.1800E-03  0.3559E+07  0.3559E+07  0.1338E+08  0.0000E+00  0.0000E+00  0.2622E-02  0.1342E-07
   10  0.0000E+00  0.0000E+00  0.2000E-03  0.3930E+07  0.3930E+07  0.1478E+08  0.0000E+00  0.0000E+00  0.3198E-02  0.3315E-07
   11  0.0000E+00  0.0000E+00  0.2200E-03  0.4295E+07  0.4295E+07  0.1615E+08  0.0000E+00  0.0000E+00  0.3818E-02  0.7284E-07
   12  0.0000E+00  0.0000E+00  0.2400E-03  0.4653E+07  0.4653E+07  0.1749E+08  0.0000E+00  0.0000E+00  0.4481E-02  0.1452E-06
